Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (forest_a)/short,MLP-DQN,0,66,16,155,92,1.0,11.1386,6.3,0.09982,0.09075,0.0,0,0.09075,1,11.184,0.272
Env. (forest_a)/short,MLP-DQN,1,176,58,235,33,1.0,5.7562,3.6,0.107964,0.01369,0.0,0,0.01369,0,5.763,0.301
Env. (forest_a)/short,MLP-DQN,2,168,197,121,138,1.0,6.7762,4.1,0.108766,0.01427,0.0,0,0.01427,0,6.783,0.148
Env. (forest_a)/short,MLP-DQN,3,274,190,186,268,1.0,10.9312,6.2,0.086231,0.02239,0.0,0,0.02239,0,10.942,0.093
Env. (forest_a)/short,MLP-DQN,4,13,219,29,293,1.0,7.6836,4.75,0.11656,0.01673,0.0,0,0.01673,1,7.692,0.49
Env. (forest_a)/short,MLP-DQN,5,211,243,279,340,1.0,11.8199,6.7,0.087128,0.0228,0.0,0,0.0228,1,11.831,0.201
Env. (forest_a)/short,MLP-DQN,6,313,249,307,118,1.0,13.1136,7.35,0.085421,0.02576,0.0,0,0.02576,1,13.127,0.227
Env. (forest_a)/short,MLP-DQN,7,90,279,20,335,0.0,0.1819,3.45,4.79466,0.10574,0.0,0,0.10574,1,inf,inf
Env. (forest_a)/short,MLP-DQN,8,187,58,219,147,1.0,9.0009,5.2,0.17536,0.02064,0.0,0,0.02064,1,9.011,0.07
Env. (forest_a)/short,MLP-DQN,9,151,212,167,136,1.0,7.2587,4.3,0.112516,0.01827,0.0,0,0.01827,1,7.268,0.009
Env. (forest_a)/short,MLP-DDQN,0,66,16,155,92,1.0,11.1984,6.25,0.146767,0.02383,0.0,0,0.02383,1,11.21,0.31
Env. (forest_a)/short,MLP-DDQN,1,176,58,235,33,1.0,5.7765,3.6,0.164241,0.01208,0.0,0,0.01208,1,5.783,0.427
Env. (forest_a)/short,MLP-DDQN,2,168,197,121,138,1.0,6.705,4.1,0.074702,0.01417,0.0,0,0.01417,0,6.712,0.1
Env. (forest_a)/short,MLP-DDQN,3,274,190,186,268,1.0,11.6557,6.75,0.133939,0.02468,0.0,0,0.02468,1,11.668,0.564
Env. (forest_a)/short,MLP-DDQN,4,13,219,29,293,1.0,6.615,4.25,0.034586,0.0146,0.0,0,0.0146,0,6.622,0.077
Env. (forest_a)/short,MLP-DDQN,5,211,243,279,340,1.0,11.1862,6.4,0.073738,0.02426,0.0,0,0.02426,0,11.198,0.023
Env. (forest_a)/short,MLP-DDQN,6,313,249,307,118,1.0,12.9559,7.15,0.171488,0.02971,0.0,0,0.02971,1,12.971,0.3
Env. (forest_a)/short,MLP-DDQN,7,90,279,20,335,0.0,0.2513,5.35,6.602771,0.14576,0.0,0,0.14576,1,inf,inf
Env. (forest_a)/short,MLP-DDQN,8,187,58,219,147,1.0,8.973,5.15,0.253061,0.01962,0.0,0,0.01962,1,8.983,0.27
Env. (forest_a)/short,MLP-DDQN,9,151,212,167,136,1.0,7.4361,4.45,0.142896,0.01698,0.0,0,0.01698,1,7.445,0.101
Env. (forest_a)/short,MLP-PDDQN,0,66,16,155,92,1.0,13.4957,7.5,0.17144,0.03289,0.0,0,0.03289,1,13.512,0.672
Env. (forest_a)/short,MLP-PDDQN,1,176,58,235,33,1.0,5.7286,3.6,0.126044,0.01976,0.0,0,0.01976,0,5.739,0.355
Env. (forest_a)/short,MLP-PDDQN,2,168,197,121,138,1.0,6.6487,4.2,0.027443,0.01449,0.0,0,0.01449,0,6.656,0.1
Env. (forest_a)/short,MLP-PDDQN,3,274,190,186,268,1.0,11.2885,6.4,0.091251,0.02302,0.0,0,0.02302,1,11.3,0.202
Env. (forest_a)/short,MLP-PDDQN,4,13,219,29,293,1.0,6.7405,4.15,0.124218,0.02847,0.0,0,0.02847,1,6.755,0.205
