Algorithm,N_pairs,Path_Length_mean,Path_Length_std,Curvature_mean,Curvature_std,Plan_Time_mean,Plan_Time_std,Composite
CNN-DQN+MD,4,24.4744,9.5337,0.146695,0.032077,0.32268,0.11016,0.0436
CNN-DQN+Duel,4,24.7479,9.7913,0.170928,0.021711,0.35452,0.10693,0.2098
CNN-DQN+MHA,4,24.8268,9.7095,0.170913,0.027442,0.31679,0.09912,0.2126
CNN-DDQN+Duel,4,25.0151,9.4821,0.178708,0.078343,0.25151,0.06894,0.2582
CNN-DDQN+MD,4,24.6974,9.3193,0.191534,0.042441,0.48481,0.15988,0.3275
CNN-DQN,4,25.2861,9.6266,0.177066,0.084351,0.33073,0.07887,0.3489
CNN-DDQN,4,25.111,9.2386,0.204639,0.069041,0.21799,0.05726,0.3616
CNN-DDQN+MHA,4,26.1898,9.4407,0.23784,0.065669,0.3543,0.11424,0.7934
MLP-DQN,4,26.8372,11.2086,0.219901,0.01866,0.22707,0.13102,0.8271
MLP-DDQN,4,26.8372,11.2086,0.219901,0.01866,0.22946,0.12972,0.8281
