Algorithm,N_pairs,Path_Length_mean,Path_Length_std,Curvature_mean,Curvature_std,Plan_Time_mean,Plan_Time_std,Composite
CNN-DDQN+MD,15,8.516,1.912,0.208107,0.093253,0.14595,0.0394,0.0756
CNN-DQN+Duel,15,8.5155,1.9452,0.22004,0.103681,0.09887,0.02149,0.0911
CNN-DDQN+Duel,15,8.5731,1.8942,0.222374,0.088569,0.09423,0.01984,0.157
CNN-DQN+MD,15,8.5355,1.9148,0.223608,0.08589,0.17712,0.03623,0.2028
CNN-DQN+MHA,15,8.6104,1.8623,0.2344,0.093264,0.12248,0.02502,0.282
CNN-DDQN,15,8.627,1.8542,0.234653,0.103539,0.1282,0.03095,0.3055
CNN-DQN,15,8.7886,2.0222,0.23099,0.123061,0.10349,0.03435,0.4278
CNN-DDQN+MHA,15,8.8954,1.8971,0.261689,0.092564,0.18436,0.04783,0.7669
MLP-DDQN,15,9.063,1.9272,0.274179,0.083818,0.06595,0.02032,0.8889
MLP-DQN,15,9.063,1.9272,0.274179,0.083818,0.06917,0.02759,0.8919
