Algorithm,N_pairs,Path_Length_mean,Path_Length_std,Curvature_mean,Curvature_std,Plan_Time_mean,Plan_Time_std,Composite
CNN-DDQN+MD,18,8.1221,2.1849,0.203575,0.097579,0.12187,0.0293,0.1512
MLP-DDQN,18,8.1814,2.2419,0.184864,0.123773,0.05384,0.01407,0.1709
CNN-DQN+MD,18,8.1275,2.1682,0.203679,0.122885,0.1297,0.03179,0.1763
CNN-DDQN+Duel,18,8.1358,2.1241,0.210033,0.102235,0.12234,0.03515,0.2158
CNN-DDQN,18,8.1579,2.1591,0.200827,0.104342,0.14834,0.04898,0.275
CNN-DQN,18,8.2576,2.1487,0.228506,0.066617,0.12718,0.03643,0.6427
MLP-DQN,18,8.2305,2.2633,0.27247,0.324086,0.08913,0.14408,0.6872
CNN-DQN+Duel,18,8.2967,2.0488,0.234846,0.116712,0.14003,0.04102,0.7946
CNN-DQN+MHA,18,8.312,2.2498,0.240489,0.101359,0.13124,0.03027,0.8499
CNN-DDQN+MHA,18,8.3149,2.1285,0.250377,0.141626,0.13251,0.03685,0.8973
