Environment,Algorithm name,Run index,Start x,Start y,Goal x,Goal y,Success rate,Average path length (m),Path time (s),Average curvature (1/m),Planning time (s),Tracking time (s),Number of path corners,Compute time (s),Max corner degree (°),Planning cost (m),Composite score
Env. (realmap_a),CNN-DDQN,0,100,24,302,22,1.0,19.3661,10.7,0.080832,0.55307,0.0,0,0.55307,0,19.643,1.0
Env. (realmap_a),CNN-DDQN,1,306,40,33,21,1.0,26.9015,14.15,0.090559,0.35627,0.0,0,0.35627,1,27.08,0.863
Env. (realmap_a),CNN-DDQN,2,36,36,352,62,1.0,35.1936,18.5,0.175811,0.47576,0.0,0,0.47576,1,35.432,0.845
Env. (realmap_a),CNN-DDQN,3,120,19,382,101,1.0,29.8136,15.7,0.126843,0.40264,0.0,0,0.40264,1,30.015,0.794
Env. (realmap_a),CNN-DDQN,4,392,116,23,14,0.0,8.8661,6.55,0.347694,0.23015,0.0,1,0.23015,179,inf,inf
Env. (realmap_a),CNN-DDQN,5,64,13,370,66,1.0,31.8778,16.6,0.122326,0.4212,0.0,0,0.4212,1,32.088,0.781
Env. (realmap_a),CNN-DDQN,6,6,37,226,23,1.0,21.6157,11.45,0.144455,0.29017,0.0,0,0.29017,1,21.761,0.333
Env. (realmap_a),CNN-DDQN,7,382,37,158,41,1.0,21.8171,11.7,0.103633,0.30621,0.0,0,0.30621,1,21.97,0.0
Env. (realmap_a),CNN-DDQN,8,40,24,315,33,1.0,27.3148,14.45,0.119425,0.38677,0.0,0,0.38677,1,27.508,0.889
Env. (realmap_a),CNN-DDQN,9,102,20,311,37,1.0,20.4734,10.95,0.099211,0.28509,0.0,0,0.28509,1,20.616,0.0
Env. (realmap_a),CNN-DDQN,10,36,21,366,64,1.0,34.2066,17.9,0.120571,0.45276,0.0,0,0.45276,1,34.433,0.889
Env. (realmap_a),CNN-DDQN,11,246,29,17,33,0.0,0.5175,4.15,0.464517,0.29784,0.0,0,0.29784,0,inf,inf
Env. (realmap_a),CNN-DDQN,12,373,87,222,41,1.0,18.1542,9.85,0.262525,0.27308,0.0,0,0.27308,1,18.291,0.0
Env. (realmap_a),CNN-DDQN,13,243,42,59,58,1.0,18.7023,10.05,0.17556,0.25392,0.0,0,0.25392,1,18.829,1.0
Env. (realmap_a),CNN-DDQN,14,19,35,379,52,1.0,36.3567,18.95,0.121785,0.47818,0.0,0,0.47818,1,36.596,0.871
Env. (realmap_a),CNN-DDQN,15,366,86,150,13,0.0,5.7778,7.0,0.669684,0.34145,0.0,2,0.34145,180,inf,inf
Env. (realmap_a),CNN-DDQN,16,90,38,379,39,1.0,28.1658,14.85,0.099231,0.37347,0.0,0,0.37347,1,28.353,0.848
Env. (realmap_a),CNN-DDQN,17,125,18,369,18,1.0,23.553,13.1,0.083045,0.38911,0.0,0,0.38911,0,23.748,1.0
Env. (realmap_a),CNN-DDQN,18,377,109,199,27,1.0,22.7559,12.1,0.236741,0.31966,0.0,0,0.31966,1,22.916,0.889
