Environment,Algorithm,run_idx,start_x,start_y,goal_x,goal_y,success_rate,avg_path_length,path_time_s,avg_curvature_1_m,planning_time_s,tracking_time_s,num_corners,inference_time_s,max_corner_deg,planning_cost,composite_score
Env. (realmap_a),CNN-DDQN,0,184,37,302,22,1.0,11.6795,6.55,0.27199,0.43594,0.0,0,0.43594,1,11.897,1.0
Env. (realmap_a),CNN-DDQN,1,160,20,101,35,1.0,5.3885,3.35,0.171425,0.08406,0.0,0,0.08406,1,5.431,0.023
Env. (realmap_a),CNN-DDQN,2,286,40,352,62,1.0,9.5629,5.45,0.339327,0.13988,0.0,0,0.13988,1,9.633,0.434
Env. (realmap_a),CNN-DDQN,3,152,18,77,11,1.0,6.7818,4.05,0.096692,0.10169,0.0,0,0.10169,1,6.833,1.0
Env. (realmap_a),CNN-DDQN,4,379,108,312,36,0.0,7.9326,7.95,0.391649,0.78784,0.0,0,0.78784,2,inf,inf
Env. (realmap_a),CNN-DDQN,5,306,37,353,69,1.0,7.5147,4.4,0.414452,0.12983,0.0,0,0.12983,1,7.58,0.327
Env. (realmap_a),CNN-DDQN,6,132,14,14,9,1.0,11.1604,6.25,0.146651,0.16928,0.0,0,0.16928,0,11.245,0.22
Env. (realmap_a),CNN-DDQN,7,127,45,23,14,1.0,10.6393,6.05,0.23104,0.19054,0.0,0,0.19054,1,10.735,0.333
Env. (realmap_a),CNN-DDQN,8,275,44,385,68,1.0,11.1158,6.2,0.197249,0.16485,0.0,0,0.16485,1,11.198,1.0
Env. (realmap_a),CNN-DDQN,9,256,43,142,14,1.0,11.0153,6.3,0.161375,0.16656,0.0,0,0.16656,1,11.099,0.333
Env. (realmap_a),CNN-DDQN,10,353,21,226,23,1.0,11.7699,7.25,0.078045,0.24173,0.0,0,0.24173,0,11.891,0.185
Env. (realmap_a),CNN-DDQN,11,106,19,158,41,1.0,5.1909,3.25,0.377497,0.087,0.0,0,0.087,1,5.234,0.444
Env. (realmap_a),CNN-DDQN,12,278,26,374,65,1.0,10.3456,5.85,0.209309,0.15567,0.0,0,0.15567,1,10.423,0.0
Env. (realmap_a),CNN-DDQN,13,209,40,315,33,1.0,9.8434,5.65,0.14484,0.15438,0.0,0,0.15438,1,9.921,0.0
Env. (realmap_a),CNN-DDQN,14,172,45,52,58,1.0,11.9488,6.65,0.214486,0.18059,0.0,0,0.18059,1,12.039,0.046
Env. (realmap_a),CNN-DDQN,15,214,35,105,14,1.0,10.4923,6.1,0.12053,0.17642,0.0,0,0.17642,1,10.581,1.0
Env. (realmap_a),CNN-DDQN,16,93,19,17,33,1.0,6.8811,4.1,0.165061,0.1109,0.0,0,0.1109,1,6.937,0.34
Env. (realmap_a),CNN-DDQN,17,99,35,222,41,1.0,11.6188,6.5,0.222975,0.1798,0.0,0,0.1798,1,11.709,0.333
Env. (realmap_a),CNN-DDQN,18,114,37,30,20,1.0,8.0508,4.7,0.243835,0.15043,0.0,0,0.15043,1,8.126,0.333
Env. (realmap_a),CNN-DDQN,19,133,28,59,58,1.0,7.8229,4.65,0.326865,0.13326,0.0,0,0.13326,1,7.89,1.0
Env. (realmap_a),CNN-DDQN,20,280,42,379,52,1.0,9.1667,5.25,0.11497,0.14579,0.0,0,0.14579,1,9.24,0.03
Env. (realmap_a),CNN-DDQN,21,249,20,358,39,1.0,10.4602,5.9,0.178449,0.16634,0.0,0,0.16634,1,10.543,0.38
Env. (realmap_a),CNN-DDQN,22,256,36,150,13,1.0,10.2746,5.85,0.218243,0.15418,0.0,0,0.15418,1,10.352,0.256
Env. (realmap_a),CNN-DDQN,23,384,105,379,39,1.0,5.7324,3.55,0.107231,0.09267,0.0,0,0.09267,0,5.779,0.111
